Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 1,1,0,5.2799994591623545e-05,0,0.00124359130859375,0,1.4899997040629387e-05,0.0005035400390625,3,0
Tamanho 2,2,0,4.579999949783087e-05,0.867424321764927,0.0013275146484375,1.0674846625766872,2.2199994418770075e-05,0.000885009765625,11,3.6666666666666665
Tamanho 3,3,1,6.719998782500625e-05,1.467248658554874,0.00177764892578125,1.339080459770115,4.1700026486068964e-05,0.0012664794921875,30,2.727272727272727
Tamanho 4,4,0,0.00011229998199269176,1.671130987183052,0.001678466796875,0.944206008583691,0.0002579999854788184,0.00164794921875,139,4.633333333333334
Tamanho 5,5,0,0.00044030003482475877,3.920748935235026,0.00179290771484375,1.0681818181818181,0.0012487000203691423,0.0020599365234375,503,3.618705035971223
Tamanho 6,6,1,0.00018829997861757874,0.42766287468617376,0.0022735595703125,1.2680851063829788,0.00349799997638911,0.00244140625,1176,2.337972166998012
Tamanho 7,7,2,0.00015899998834356666,0.8443972724313586,0.0024290084838867188,1.0683724832214765,0.004136100003961474,0.0029048919677734375,2654,2.256802721088435
Tamanho 8,8,1,0.0003934000269509852,2.4742141873679118,0.00311279296875,1.28150765606596,0.033607899968046695,0.003204345703125,17369,6.544461190655614
Tamanho 9,9,2,0.00020970002515241504,0.5330452739865779,0.0033292770385742188,1.069546568627451,0.10502719995565712,0.0038318634033203125,58422,3.363578789797916
Tamanho 10,10,2,0.00023990002227947116,1.14401522892096,0.0035047531127929688,1.0527069607562303,0.4037718000472523,0.004131317138671875,195211,3.3413953647598507
Tamanho 11,11,2,0.000285100017208606,1.188411799630761,0.0036802291870117188,1.0500680272108844,2.1224423999665305,0.00467681884765625,1080220,5.533602102340544
Tamanho 12,12,3,0.0005717999883927405,2.00561190417031,0.003856658935546875,1.0479398807981342,3.797942899982445,0.005023002624511719,2020230,1.870202366184666
Tamanho 13,13,4,0.00037349999183788896,0.6532004187124094,0.004033088684082031,1.0457467853610287,10.697773099993356,0.005621910095214844,5779038,2.860584190908956
Tamanho 14,14,2,0.00043509999522939324,1.1649263848397637,0.004206657409667969,1.0430361787656657,94.593731400033,0.005944252014160156,51750215,8.954814797895429
Tamanho 15,15,3,0.0005756000173278153,1.3229143269108694,0.004383087158203125,1.04194060303786,,,,
Tamanho 16,16,3,0.0011806999682448804,2.0512507517393788,0.005657196044921875,1.2906875543951262,,,,
Tamanho 17,17,4,0.00760949996765703,6.444905710439384,0.005894660949707031,1.0419757248819959,,,,
Tamanho 18,18,3,0.0006969000096432865,0.09158289146531956,0.006130218505859375,1.0399611713314998,,,,
Tamanho 19,19,3,0.010259200003929436,14.721193660451641,0.006366729736328125,1.0385812072184195,,,,
Tamanho 20,20,6,0.0008937999955378473,0.08712180240130885,0.006606101989746094,1.0375973636908329,,,,
Tamanho 21,21,8,0.0016683000139892101,1.8665249746228794,0.006844520568847656,1.03609065973726,,,,
Tamanho 22,22,4,0.0009281999664381146,0.5563747279595227,0.007077217102050781,1.033997491988296,,,,
Tamanho 23,23,6,0.001070900005288422,1.153738465858716,0.007315635681152344,1.0336881821856894,,,,
Tamanho 24,24,4,0.0011955000227317214,1.1163507487421678,0.009137153625488281,1.2489897014730804,,,,
Tamanho 25,25,7,0.001180600025691092,0.9875365982791177,0.00943756103515625,1.0328775701910031,,,,
Tamanho 26,26,7,0.001316900015808642,1.1154497604197184,0.009735107421875,1.0315278900565885,,,,
Tamanho 27,27,6,0.01269879995379597,9.64294919990435,0.010031700134277344,1.030466300940439,,,,
Tamanho 28,28,7,0.0014842000091448426,0.11687718639123694,0.0103302001953125,1.0297556801977374,,,,
Tamanho 29,29,4,0.001654100022278726,1.1144724512107875,0.010624885559082031,1.02852658788774,,,,
Tamanho 30,30,11,0.003357500012498349,2.0298047078634216,0.010929107666015625,1.028632977291087,,,,
Tamanho 31,31,9,0.0017897000070661306,0.5330454208202362,0.011224746704101562,1.0270506108202444,,,,
Tamanho 32,32,8,0.0019804000039584935,1.1065541689330263,0.013596534729003906,1.2112999150382329,,,,
Tamanho 33,33,8,0.0068592000170610845,3.463542720334616,0.013955116271972656,1.0263730097495967,,,,
Tamanho 34,34,11,0.0020886000129394233,0.3044961522837049,0.014316558837890625,1.0259003621950387,,,,
Tamanho 35,35,11,0.010117599973455071,4.844201814983191,0.014675140380859375,1.0250466293631761,,,,
Tamanho 36,36,8,0.002320100029464811,0.22931327938957022,0.015030860900878906,1.0242396672732,,,,
Tamanho 37,37,9,0.0024900000425986946,1.0732296069032312,0.015390396118164062,1.0239198020430176,,,,
Tamanho 38,38,11,0.011509900039527565,4.62244973599086,0.015750885009765625,1.0234229768248853,,,,
Tamanho 39,39,10,0.0028061000048182905,0.2437988162522278,0.01610851287841797,1.0227052555098086,,,,
Tamanho 40,40,8,0.003803499974310398,1.3554399229462581,0.020310401916503906,1.2608489728257652,,,,
Tamanho 41,41,12,0.006474199995864183,1.7021690652273507,0.02076435089111328,1.0223505658073908,,,,
Tamanho 42,42,12,0.003102299990132451,0.47917889347166404,0.02121448516845703,1.0216782253249437,,,,
Tamanho 43,43,11,0.005974699975922704,1.9258936901416865,0.021663665771484375,1.0211732973701955,,,,
Tamanho 44,44,12,0.0034419999574311078,0.5760958661191254,0.02211475372314453,1.0208223278746258,,,,
Tamanho 45,45,13,0.006913700024597347,2.0086287362296478,0.022565841674804688,1.0203976023114407,,,,
Tamanho 46,46,13,0.0037119000335223973,0.5368905246563077,0.023015975952148438,1.0199475953004817,,,,
Tamanho 47,47,13,0.004812000028323382,1.2963711266106075,0.023466110229492188,1.0195574707880999,,,,
Tamanho 48,48,13,0.005262099963147193,1.0935369767611238,0.023916244506835938,1.019182313256929,,,,
Tamanho 49,49,15,0.004894799960311502,0.9301989689652316,0.0243682861328125,1.0189010287901747,,,,
Tamanho 50,50,16,0.004261199967004359,0.8705565092660453,0.024819374084472656,1.018511271133375,,,,
Tamanho 51,51,14,0.005314400012139231,1.2471604367995142,0.025267601013183594,1.018059558117195,,,,
Tamanho 52,52,14,0.007748099975287914,1.4579444448271845,0.030661582946777344,1.2134742404227212,,,,
Tamanho 53,53,16,0.005377899971790612,0.6940927438911593,0.031205177307128906,1.0177288420266866,,,,
Tamanho 54,54,15,0.006048600014764816,1.1247141163822891,0.03174591064453125,1.0173283212615751,,,,
Tamanho 55,55,13,0.0059967999695800245,0.9914360273355246,0.03228569030761719,1.0170031242489785,,,,
Tamanho 56,56,18,0.005432099977042526,0.9058331117592628,0.03283214569091797,1.0169256217876765,,,,
Tamanho 57,57,15,0.0065407000365667045,1.2040831472560174,0.0333709716796875,1.0164115374560665,,,,
Tamanho 58,58,13,0.00565090001327917,0.8639595122367664,0.03391075134277344,1.016175125743027,,,,
Tamanho 59,59,19,0.007955199980642647,1.4077757458012978,0.034458160400390625,1.0161426401934868,,,,
Tamanho 60,60,14,0.011815299978479743,1.4852297877149363,0.034995079040527344,1.0155817557843463,,,,
Tamanho 61,61,16,0.006603199988603592,0.5588685857007937,0.035538673400878906,1.0155334514238996,,,,
Tamanho 62,62,17,0.006633799988776445,1.0046341168260338,0.03608131408691406,1.0152690191869047,,,,
Tamanho 63,63,18,0.007988899946212769,1.204272055191441,0.03662395477294922,1.015039382565946,,,,
Tamanho 64,64,21,0.008236500027123839,1.0309930131279774,0.04321098327636719,1.179855740436945,,,,
Tamanho 65,65,19,0.007923200028017163,0.9619619986553829,0.043842315673828125,1.0146104612668285,,,,
Tamanho 66,66,20,0.008028600015677512,1.0133027043729357,0.04447650909423828,1.0144653267206125,,,,
Tamanho 67,67,19,0.00956079998286441,1.1908427327547715,0.045108795166015625,1.014216180286039,,,,
Tamanho 68,68,17,0.010458000004291534,1.0938415219474473,0.04574012756347656,1.0139957716701902,,,,
Tamanho 69,69,20,0.008147899992763996,0.7791069027940746,0.04637622833251953,1.0139068429173095,,,,
Tamanho 70,70,18,0.008477099996525794,1.04040304913587,0.04700756072998047,1.013613276028707,,,,
Tamanho 71,71,20,0.011590999958571047,1.367330804558332,0.04764270782470703,1.0135115944087156,,,,
Tamanho 72,72,23,0.01263820001622662,1.090345963368002,0.04827880859375,1.0133514822747562,,,,
Tamanho 73,73,22,0.012419799983035773,0.9827190554896714,0.048911094665527344,1.0130965549936788,,,,
Tamanho 74,74,20,0.012222099991049618,0.984081869896762,0.04954242706298828,1.0129077544017002,,,,
Tamanho 75,75,23,0.10279939998872578,8.41094411467808,0.05017852783203125,1.0128395156788388,,,,
Tamanho 76,76,20,0.02457820001291111,0.2390889442507121,0.06033039093017578,1.202314885206021,,,,
Tamanho 77,77,22,0.010348300042096525,0.42103571606791734,0.061087608337402344,1.0125511768704256,,,,
Tamanho 78,78,20,0.010539799986872822,1.0185054495904913,0.06184101104736328,1.012333151198189,,,,
Tamanho 79,79,25,0.010904300026595592,1.0345832027340889,0.06260108947753906,1.0122908474053511,,,,
Tamanho 80,80,24,0.011138000001665205,1.021431909842871,0.0633554458618164,1.0120502117546692,,,,
Tamanho 81,81,24,0.0113936000270769,1.0229484669934892,0.06411075592041016,1.0119217858594374,,,,
Tamanho 82,82,24,0.011794799997005612,1.0352127482951183,0.0648660659790039,1.0117813313499442,,,,
Tamanho 83,83,23,0.01295369997387752,1.0982551613563707,0.06562042236328125,1.0116294455797816,,,,
Tamanho 84,84,25,0.015026199980638921,1.15999289862671,0.06637763977050781,1.0115393558888501,,,,
Tamanho 85,85,29,0.013167399971280247,0.8762960687496695,0.06713676452636719,1.0114364529754891,,,,
Tamanho 86,86,26,0.013659999996889383,1.0374105766273949,0.06788921356201172,1.01120770476434,,,,
Tamanho 87,87,27,0.014635699975769967,1.0714275240924427,0.06864547729492188,1.0111396743787489,,,,
Tamanho 88,88,23,0.013773099984973669,0.9410619244570215,0.06939697265625,1.0109474854126146,,,,
Tamanho 89,89,27,0.01706530002411455,1.2390311580350568,0.07015609741210938,1.010938874230431,,,,
Tamanho 90,90,28,0.014266100013628602,0.8359712395017687,0.07091236114501953,1.010779729215377,,,,
Tamanho 91,91,26,0.014570700004696846,1.0213513147095041,0.07166576385498047,1.0106244200277041,,,,
Tamanho 92,92,22,0.015292700030840933,1.0495514989610213,0.0838918685913086,1.1705989593729624,,,,
Tamanho 93,93,25,0.015417999995406717,1.0081934494440543,0.08477210998535156,1.0104925710777906,,,,
Tamanho 94,94,27,0.015648400003556162,1.0149435729808072,0.08565139770507812,1.0103723703453706,,,,
Tamanho 95,95,28,0.015811099961865693,1.0103972264431225,0.08652973175048828,1.0102547543758071,,,,
Tamanho 96,96,29,0.017444099998101592,1.1032818741374402,0.08740806579589844,1.0101506618319684,,,,
Tamanho 97,97,29,0.01658980001229793,0.9510264223492966,0.08828544616699219,1.0100377506710019,,,,
Tamanho 98,98,30,0.01782369997818023,1.0743770247361402,0.08916378021240234,1.009948797718582,,,,
Tamanho 99,99,29,0.017884100030642003,1.0033887493918612,0.09004020690917969,1.0098294026418526,,,,
Tamanho 100,100,30,0.018228399974759668,1.0192517344192749,0.09091854095458984,1.0097549092295635,,,,
